study,doi,evidence_layer,manipulated_axis,target_outcome,directional_result,evidence_status,claim_ceiling
Sun_Armbruster_Huang_2016,10.1093/aob/mcw097,shared_conflict,NO_correlational_exsertion,stigmatic_pollen_load,greater_exsertion_more_pollen,DIRECT_GEOGRAPHIC_OBSERVATIONAL,shared_conflict_not_causal_optimum
Sun_Armbruster_Huang_2016,10.1093/aob/mcw097,shared_conflict,NO_correlational_exsertion,seed_predation,greater_exsertion_more_seed_predation,DIRECT_GEOGRAPHIC_OBSERVATIONAL,shared_conflict_not_causal_optimum
Sun_Armbruster_Huang_2016,10.1093/aob/mcw097,fitness_path,NO_seed_predation_observed,final_viable_seed_production,more_seed_predation_lower_final_seed_production,DIRECT_OBSERVATIONAL_FITNESS_PATH,antagonist_to_fitness_path_not_intervention
Sun_Armbruster_Huang_2016,10.1093/aob/mcw097,geographic_weight,NO_population_comparison,seed_predation,seed_predation_varies_strongly_among_populations,DIRECT_GEOGRAPHIC_VARIATION,functional_weight_mosaic_not_causal_optimum_shift
Sun_Huang_2015,10.1093/aobpla/plv019,functional_y_state,YES_bract_drainage,seed_predation,drainage_increased_seed_predation,DIRECT_EXPERIMENTAL_P_LT_0_0001,causal_water_defence_function
Sun_Huang_2015,10.1093/aobpla/plv019,functional_y_state,YES_bract_drainage,final_seed_set,drainage_reduced_final_reproductive_success,DIRECT_EXPERIMENTAL_P_LT_0_0001,causal_water_defence_fitness_consequence
Sun_Huang_2015,10.1093/aobpla/plv019,cross_function_check,YES_bract_drainage,legitimate_pollinator_visitation,no_detected_treatment_effect_P_0_958,DIRECT_EXPERIMENTAL_NULL_DETECTION,not_equivalence_and_not_zero_pollinator_effect
Sun_Huang_2015,10.1093/aobpla/plv019,cross_function_check,YES_bract_drainage,initial_seed_set,no_detected_treatment_effect_P_0_906,DIRECT_EXPERIMENTAL_NULL_DETECTION,not_equivalence_and_not_zero_cross_effect
Sun_Armbruster_Huang_2016,10.1093/aob/mcw097,structural_measurement,NO_measurement_only,cupulate_bract_dimensions,top_width_bottom_width_height_measured,DIRECT_TRAIT_MEASUREMENT,structural_measurement_not_water_retention_trait
Huang_Wang_Sun_2016,10.1111/jipb.12460,manipulation_precedent,YES_congeneric_corolla_bending_tape,corolla_tube_length,non_destructive_length_manipulation_demonstrated,CONGENERIC_EXPERIMENTAL_PRECEDENT,method_precedent_not_validated_in_P_rex
