record_id,screen_title_abstract,screen_title_abstract_reason,decision_source,decision_note
SCHPRISMA-000192,EXCLUDE,TA_NOT_PRIMARY_OR_RELEVANT_SYNTHESIS,ASSISTED_OPENALEX_ABSTRACT_SCREEN_2026-08-30,"eLife decision-letter object rather than an independent primary study or relevant synthesis; live abstract drift does not alter its frozen identity."
SCHPRISMA-000108,RETAIN_FULLTEXT,,ASSISTED_OPENALEX_ABSTRACT_SCREEN_2026-08-30,"Primary orchid study explicitly links floral larceny/florivory, pollinator response, breeding system and reproductive success."
SCHPRISMA-000110,RETAIN_FULLTEXT,,ASSISTED_OPENALEX_ABSTRACT_SCREEN_2026-08-30,"Primary brood-pollination system in which pollen-parasite midges pollinate cryptic flowers and oviposit; retain for dual-role and cue adjudication."
SCHPRISMA-000121,RETAIN_FULLTEXT,,ASSISTED_OPENALEX_ABSTRACT_SCREEN_2026-08-30,"Dissertation contains primary plant-mediated herbivore–flower-visitor interaction studies and plant-fitness outcomes; retain for chapter-level source and independence coding."
SCHPRISMA-000127,RETAIN_FULLTEXT,,ASSISTED_OPENALEX_ABSTRACT_SCREEN_2026-08-30,"Preprint on floral traits and spatiotemporal nectar robbing/thieving; retain now and resolve duplication with the published report at full text."
SCHPRISMA-000128,RETAIN_FULLTEXT,,ASSISTED_OPENALEX_ABSTRACT_SCREEN_2026-08-30,"Published primary study relates floral traits to legitimate pollination versus nectar robbing/thieving across Afrotropical forests."
SCHPRISMA-000141,RETAIN_FULLTEXT,,ASSISTED_OPENALEX_ABSTRACT_SCREEN_2026-08-30,"Primary non-pollinating fig-wasp community study may inform receiver diversity and the Ficus historical bridge; absence of a focal floral code is deferred to full text."
SCHPRISMA-000153,RETAIN_FULLTEXT,,ASSISTED_OPENALEX_ABSTRACT_SCREEN_2026-08-30,"Primary pistillate-flower study directly evaluates pollination and a specialized parasitic galler/oviposition channel."
SCHPRISMA-000166,RETAIN_FULLTEXT,,ASSISTED_OPENALEX_ABSTRACT_SCREEN_2026-08-30,"Experimental Linaria study jointly addresses corolla herbivory, pollination success and fruit predation in complex flowers."
SCHPRISMA-000188,RETAIN_FULLTEXT,,ASSISTED_OPENALEX_ABSTRACT_SCREEN_2026-08-30,"Primary study measures plant-mediated interactions between herbivores and flower visitors and consequences for plant fitness."
