record_id,screen_title_abstract,screen_title_abstract_reason,decision_source,decision_note
SCHPRISMA-000513,EXCLUDE,TA_NOT_FLORAL_SIGNAL,SOURCE_VERIFIED_TA3_BATCH_E_SCREEN_V42_2026-09-26,Extrafloral nectary review concerns defensive plant–insect interactions outside the focal floral coordinate; no flower-mediated pollinator-antagonist trait is registered.
SCHPRISMA-000514,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_E_SCREEN_V42_2026-09-26,"Focused review of angiosperm floral bracts synthesizes pollinator attraction, herbivore protection and other functions, explicitly including reinforcing and opposing agents of selection; retain as relevant synthesis/source-chasing material."
SCHPRISMA-000515,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_E_SCREEN_V42_2026-09-26,"Primary Brassica nigra study manipulates single/multiple inflorescence attackers, quantifies floral volatile responses, pollinator visitation and parasitoid attraction; retain for attack-induced floral-signal/multi-audience adjudication."
SCHPRISMA-000516,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_E_SCREEN_V42_2026-09-26,Primary Elsholtzia study measures the same volatile phenotype as attractant to effective pollinators and deterrent to herbivorous beetles/ineffective visitors; retain for multifunctional floral-scent adjudication.
SCHPRISMA-000517,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_E_SCREEN_V42_2026-09-26,Primary Phytolacca tropical-temperate comparison jointly quantifies pollination and herbivory metrics across latitudes/populations; retain for comparative multi-context adjudication.
SCHPRISMA-000518,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_E_SCREEN_V42_2026-09-26,Dissertation explicitly examines multitrophic interactions along a Brassicaceae plant-size gradient with multiple aboveground insect guilds; retain under TA uncertainty for chapter-level pollinator/herbivore and trait-axis adjudication.
SCHPRISMA-000519,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_E_SCREEN_V42_2026-09-26,Dissertation on multitrophic plant-insect interactions under belowground processes is retained conservatively for chapter-level source adjudication because the frozen query context indicates pollination/herbivory relevance not resolvable from title alone.
SCHPRISMA-000520,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_E_SCREEN_V42_2026-09-26,"Primary Hawaiian lobelioid study quantifies nectarivorous bird visitation, pollen-contact vs nectar-robbing roles and plant reproductive consequences after pollinator extinction; retain for mutualism-antagonism role adjudication."
SCHPRISMA-000521,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_E_SCREEN_V42_2026-09-26,Focused book chapter on the evolutionary/ecological transition from antagonism to mutualism is retained as relevant synthesis/source-chasing material for brood-pollination and role-transition boundaries.
SCHPRISMA-000522,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_E_SCREEN_V42_2026-09-26,"Primary Oenothera-Hyles study follows a pollinating herbivore across life stages, floral attraction/oviposition and plant defence, directly exposing asymmetric mutualism and herbivory costs; retain for coupled-role adjudication."
