record_id,fulltext_status,screen_fulltext,screen_fulltext_reason,evidence_lanes,A_trait,A_manipulated,pollinator_response_measured,antagonist_response_measured,common_reproductive_outcome,geographic_contrast,receiver_assemblage_contrast,decision_source,decision_note
SCHPRISMA-000303,AVAILABLE,EXCLUDE,FT_NO_DECLARED_FLORAL_COORDINATE,,,,,,,,,SOURCE_VERIFIED_BATCH4_REMAINDER_FULLTEXT_V21_2026-09-02,Baptisia experiment separates pollen supplementation and seed-predator exclusion effects on reproduction but does not test a declared floral attraction/display A against both audiences.
SCHPRISMA-000308,AVAILABLE,EXCLUDE,FT_NO_POLLINATOR_EVIDENCE,,,,,,,,,SOURCE_VERIFIED_BATCH4_REMAINDER_FULLTEXT_V21_2026-09-02,"Ficus macula directly reduces non-pollinating wasp oviposition through the macula region, but the current study does not measure pollinating-wasp response to that same structural coordinate."
SCHPRISMA-000309,AVAILABLE,EXCLUDE,FT_REVIEW_ONLY_NO_PRIMARY_ROLE,,,,,,,,,SOURCE_VERIFIED_BATCH4_REMAINDER_FULLTEXT_V21_2026-09-02,"Fitness consequences of trait-mediated plant-pollinator interactions is a framework/synthesis article, not an independent shared-cue primary experiment."
SCHPRISMA-000310,AVAILABLE,EXCLUDE,FT_NO_ANTAGONIST_EVIDENCE,,,,,,,,,SOURCE_VERIFIED_BATCH4_REMAINDER_FULLTEXT_V21_2026-09-02,Radish hybrid-fitness experiment measures fitness; pollinator preferences and herbivore discrimination are contextual/prior evidence rather than paired antagonist response to a focal floral A.
SCHPRISMA-000317,AVAILABLE,EXCLUDE,FT_NO_ANTAGONIST_EVIDENCE,,,,,,,,,SOURCE_VERIFIED_BATCH4_REMAINDER_FULLTEXT_V21_2026-09-02,"Ipomoea study quantifies floral integration, pollination and fruit set; seed predators are invoked as a likely selective mechanism rather than measured responding to the focal A."
SCHPRISMA-000324,AVAILABLE,EXCLUDE,FT_NO_DECLARED_FLORAL_COORDINATE,,,,,,,,,SOURCE_VERIFIED_BATCH4_REMAINDER_FULLTEXT_V21_2026-09-02,Hummingbird resource dissertation records nectar thieves and visitors but does not evaluate one floral trait coordinate against legitimate and antagonistic audiences.
SCHPRISMA-000325,AVAILABLE,EXCLUDE,FT_DUPLICATE_DATASET_OR_REPORT,,,,,,,,,SOURCE_VERIFIED_BATCH4_REMAINDER_FULLTEXT_V21_2026-09-02,Non-DOI Floral scent in a whole-plant context representation overlaps the published Floral volatiles controlling ant behaviour report SCHPRISMA-000338.
SCHPRISMA-000327,AVAILABLE,EXCLUDE,FT_REVIEW_ONLY_NO_PRIMARY_ROLE,,,,,,,,,SOURCE_VERIFIED_BATCH4_REMAINDER_FULLTEXT_V21_2026-09-02,"Floral Scent Metabolic Pathways and Their Regulation is a synthesis/book chapter and source-chasing resource, not an independent primary study."
SCHPRISMA-000337,AVAILABLE,EXCLUDE,FT_REVIEW_ONLY_NO_PRIMARY_ROLE,,,,,,,,,SOURCE_VERIFIED_BATCH4_REMAINDER_FULLTEXT_V21_2026-09-02,"Review of floral volatile benzenoid/phenylpropanoid biosynthesis, regulation and ecological value; useful source registry material only."
SCHPRISMA-000338,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,floral and pollen volatile blend,YES_SYNTHETIC_OR_ISOLATED_FLORAL_VOC_ASSAYS,YES_BENEFICIAL_BEE_VISITOR_COMPATIBILITY_AND_FLORAL_FUNCTION,YES_ANT_REPELLENCE_AND_FLOWER_FILTERING,NO_COMMON_PLANT_REPRODUCTIVE_OUTCOME,MULTI_SPECIES_COMPARATIVE_CONTEXT_NOT_REGISTERED_AS_GEOGRAPHIC_TEST,POLLINATOR_COMPATIBLE_VS_ANT_REPELLENT_RECEIVER_FUNCTION,SOURCE_VERIFIED_BATCH4_REMAINDER_FULLTEXT_V21_2026-09-02,"Willmer et al. directly tests floral/pollen VOC effects on ants and reports compatible beneficial bee visitation; useful same-coordinate receiver filtering, but no common plant reproductive outcome."
SCHPRISMA-000341,AVAILABLE,EXCLUDE,FT_REVIEW_ONLY_NO_PRIMARY_ROLE,,,,,,,,,SOURCE_VERIFIED_BATCH4_REMAINDER_FULLTEXT_V21_2026-09-02,Floral volatiles: from biosynthesis to function is a review/synthesis rather than an independent primary experiment.
SCHPRISMA-000356,AVAILABLE,EXCLUDE,FT_NO_DECLARED_FLORAL_COORDINATE,,,,,,,,,SOURCE_VERIFIED_BATCH4_REMAINDER_FULLTEXT_V21_2026-09-02,"Arctostaphylos study combines flowering, pollinator dependence, fruit set and seed predation but does not test a floral signal coordinate read by both audiences."
SCHPRISMA-000358,AVAILABLE,EXCLUDE,FT_REVIEW_ONLY_NO_PRIMARY_ROLE,,,,,,,,,SOURCE_VERIFIED_BATCH4_REMAINDER_FULLTEXT_V21_2026-09-02,Flowers at the front line of invasion? is a perspective/New Perspectives synthesis rather than an independent primary shared-cue experiment.
SCHPRISMA-000361,AVAILABLE,EXCLUDE,FT_REVIEW_ONLY_NO_PRIMARY_ROLE,,,,,,,,,SOURCE_VERIFIED_BATCH4_REMAINDER_FULLTEXT_V21_2026-09-02,Review on toxic secondary metabolites in nectar and pollen synthesizes mutualist/antagonist effects but is not an independent primary report.
SCHPRISMA-000363,AVAILABLE,EXCLUDE,FT_DUPLICATE_DATASET_OR_REPORT,,,,,,,,,SOURCE_VERIFIED_BATCH4_REMAINDER_FULLTEXT_V21_2026-09-02,Preprint representation of the Jasminum petal-specific TPS study; published report SCHPRISMA-000364 is the report-level representation.
SCHPRISMA-000364,AVAILABLE,EXCLUDE,FT_NO_POLLINATOR_EVIDENCE,,,,,,,,,SOURCE_VERIFIED_BATCH4_REMAINDER_FULLTEXT_V21_2026-09-02,Published Jasminum TPS study is molecular/enzymatic characterization; pollinator attraction and antagonist deterrence are ecological background rather than measured receiver responses.
SCHPRISMA-000367,AVAILABLE,EXCLUDE,FT_REVIEW_ONLY_NO_PRIMARY_ROLE,,,,,,,,,SOURCE_VERIFIED_BATCH4_REMAINDER_FULLTEXT_V21_2026-09-02,"Frontiers in chemical ecology and coevolution is a synthesis/conceptual article retained for source chasing, not primary-study counting."
SCHPRISMA-000369,AVAILABLE,EXCLUDE,FT_NO_POLLINATOR_EVIDENCE,,,,,,,,,SOURCE_VERIFIED_BATCH4_REMAINDER_FULLTEXT_V21_2026-09-02,Pyrus beta-ocimene synthase is molecular characterization after herbivory; floral/pollinator function is contextual rather than a measured current pollinator response.
SCHPRISMA-000370,AVAILABLE,EXCLUDE,FT_NO_DECLARED_FLORAL_COORDINATE,,,,,,,,,SOURCE_VERIFIED_BATCH4_REMAINDER_FULLTEXT_V21_2026-09-02,"Isoplexis study quantifies mutualists, florivores, nectar larcenists, seed predators and female reproduction but does not evaluate a declared floral A read by both roles."
SCHPRISMA-000371,AVAILABLE,EXCLUDE,FT_NO_DECLARED_FLORAL_COORDINATE,,,,,,,,,SOURCE_VERIFIED_BATCH4_REMAINDER_FULLTEXT_V21_2026-09-02,Platanthera network study documents pollinators and herbivory/predator interactions but lacks a focal floral signal coordinate whose variation is tested across both audiences.
SCHPRISMA-000372,AVAILABLE,EXCLUDE,FT_NO_DECLARED_FLORAL_COORDINATE,,,,,,,,,SOURCE_VERIFIED_BATCH4_REMAINDER_FULLTEXT_V21_2026-09-02,"Fragmentation study measures floral resources, pollinator activity and herbivory, but herbivory is not a response to the floral-resource coordinate itself."
SCHPRISMA-000375,AVAILABLE,EXCLUDE,FT_NO_DECLARED_FLORAL_COORDINATE,,,,,,,,,SOURCE_VERIFIED_BATCH4_REMAINDER_FULLTEXT_V21_2026-09-02,"Hypoestes study distinguishes pollinators, visitors and nectar thieves and reports seed production, but no floral trait coordinate is varied or linked to both roles."
SCHPRISMA-000377,AVAILABLE,EXCLUDE,FT_NO_ANTAGONIST_EVIDENCE,,,,,,,,,SOURCE_VERIFIED_BATCH4_REMAINDER_FULLTEXT_V21_2026-09-02,Aquilegia study resolves geographic floral-trait variation and flower visitors; non-pollinator selection is proposed rather than directly measured as a plant-antagonist response.
SCHPRISMA-000378,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS;EVOLUTIONARY_OUTCOME,floral syndrome including corolla geometry and reward architecture,NO_COMPARATIVE_SPECIES_AND_GEOGRAPHY,YES_BOMBUS_VISITATION_POLLEN_DEPOSITION_AND_POLLINATION_IMPORTANCE,YES_BUTTERFLY_MOTH_NECTAR_ROBBER_ROLE,YES_POLLINATION_AND_BREEDING_SUCCESS_COMPONENTS,THREE_GEOGRAPHICALLY_AND_PHENOLOGICALLY_ISOLATED_SPECIES,BOMBUS_POLLINATORS_VS_LEPIDOPTERAN_NECTAR_ROBBERS,SOURCE_VERIFIED_BATCH4_REMAINDER_FULLTEXT_V21_2026-09-02,Roscoea comparison links geographic isolation and floral syndrome divergence to Bombus pollination and lepidopteran nectar robbery; comparative rather than randomized A.
