canonical_trait_axis_id,cluster_id,trait_coordinate,h1_resolution_priority,h2_context_priority,source_target,current_blocker,next_action,expected_information_value
Gymnadenia_000030_floral_display,Gymnadenia_conopsea_agent_selection,floral display,HIGH,HIGH,"Sletvold et al. 2015 Appendix A / trait-specific selection table","factorial study is strong but current audit lacks display-specific pollinator and herbivore directions","recover trait-specific treatment gradients and mediated contrasts","Could add conflict/reinforcement/null axis from an experimentally separated agent design."
Primula_farinosa_000167_flower_number,Primula_farinosa_scape_program,flower number,HIGH,HIGH,"Primula farinosa thesis/manuscript trait-selection tables","pollinator versus seed-predator/grazer component signs not frozen for this axis","recover agent-specific selection direction by population","Could improve both H1 class balance and H2 spatial switching."
Primula_farinosa_000167_petal_size,Primula_farinosa_scape_program,petal size,HIGH,HIGH,"Primula farinosa thesis/manuscript trait-selection tables","morph-specific total selection known but functional component signs not frozen","recover agent-specific selection direction by population","Could reveal trait-specific switching inside the same biological programme."
Primula_farinosa_000167_corolla_tube_width,Primula_farinosa_scape_program,corolla tube width,HIGH,HIGH,"Primula farinosa thesis/manuscript trait-selection tables","selection differs by morph but pollinator and antagonist components are not separated in current ledger","recover agent-specific selection direction by population","Potential non-conflict contrast in a programme already containing scape-height conflict."
Castilleja_000208_flower_production,Castilleja_linariaefolia_selection_program,flower production,MEDIUM,LOW,"Cariveau et al. 2004 path/SEM table","both pathways contribute but only calyx length is explicitly described as opposing","extract signed pollination and seed-predation path contributions","May add a resolved non-calyx contrast; do not inherit calyx conflict."
Castilleja_000208_plant_height,Castilleja_linariaefolia_selection_program,plant height,MEDIUM,LOW,"Cariveau et al. 2004 path/SEM table","both pathways contribute but only calyx length is explicitly described as opposing","extract signed pollination and seed-predation path contributions","May add a resolved non-calyx contrast; do not infer from stronger predator pathway."
Polygala_000334_flower_size,Polygala_vayredae_robbing_program,flower size,MEDIUM,HIGH,"Castro et al. 2009 population-specific trait/visitor tables","robbing association is known but matched pollinator-mediated flower-size direction is unresolved","recover population-specific legitimate-pollination and robbery effects on flower size","Could become context-variable or one-sided rather than conflict."
Polygala_000334_nectar_reward,Polygala_vayredae_robbing_program,nectar reward / nectar gland dimensions,MEDIUM,HIGH,"Castro et al. 2009 population-specific trait/visitor tables","legitimate pollination is reward-linked but robber response to same reward axis is unresolved","recover population-specific robber response and fitness route for reward","Strong H2 candidate because pollination-robbing relations differ among populations."
Erysimum_000008_flower_number,Erysimum_mediohispanicum_selection_mosaic,flower number,LOW,HIGH,"Gomez et al. 2009 trait-by-population selection tables","total selection pattern known but agent-specific pollinator versus ungulate components are not identified per trait","prioritize population context extraction; attempt agent decomposition only if source supports it","High H2 value; low probability of clean H1 component geometry."
Erysimum_000008_stalk_height,Erysimum_mediohispanicum_selection_mosaic,stalk height,LOW,HIGH,"Gomez et al. 2009 trait-by-population selection tables","total selection pattern known but agent-specific components unresolved","prioritize population context extraction","High H2 value; avoid forcing mutualist-antagonist attribution."
Erysimum_000008_corolla_diameter,Erysimum_mediohispanicum_selection_mosaic,corolla diameter,LOW,HIGH,"Gomez et al. 2009 trait-by-population selection tables","selection appears only in some populations; agent-specific sign is unresolved","materialize population-level selected/not-selected contexts","Direct H2 evidence for spatially conditional geometry."
Erysimum_000008_corolla_tube_length,Erysimum_mediohispanicum_selection_mosaic,corolla tube length,LOW,HIGH,"Gomez et al. 2009 trait-by-population selection tables","selection appears only in some populations; agent-specific sign is unresolved","materialize population-level selected/not-selected contexts","Direct H2 evidence for spatially conditional geometry."
Erysimum_000008_corolla_tube_width,Erysimum_mediohispanicum_selection_mosaic,corolla tube width,LOW,HIGH,"Gomez et al. 2009 trait-by-population selection tables","selection reverses among localities but functional-agent decomposition is unresolved","materialize locality-level selection direction before agent attribution","Very high H2 information because the same trait changes selection direction geographically."
Erysimum_000008_corolla_shape,Erysimum_mediohispanicum_selection_mosaic,corolla shape,LOW,HIGH,"Gomez et al. 2009 trait-by-population selection tables","selection reverses among localities but functional-agent decomposition is unresolved","materialize locality-level selection direction before agent attribution","Very high H2 information because the same trait changes selection direction geographically."
