record_id,screen_title_abstract,screen_title_abstract_reason,decision_source,decision_note
SCHPRISMA-000615,EXCLUDE,TA_NOT_FLORAL_SIGNAL,SOURCE_VERIFIED_TA3_BATCH_H_SCREEN_V45_2026-09-26,"Common-garden study relates whole-plant size to richness of herbivores, natural enemies and pollinators across Brassicaceae; the focal coordinate is general plant size rather than a floral trait/reward."
SCHPRISMA-000616,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_H_SCREEN_V45_2026-09-26,"Doctoral work explicitly combines plant odours, pests and pollinators; retain conservatively for chapter-level floral-odour and independence adjudication."
SCHPRISMA-000617,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_H_SCREEN_V45_2026-09-26,"Thesis explicitly studies pollination and floral herbivory in Banisteriopsis; retain for floral-trait, pollinator and florivore source adjudication."
SCHPRISMA-000618,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_H_SCREEN_V45_2026-09-26,Pollen/stamen mimicry study concerns floral deception and pollinator perception without a focal plant antagonist/exploiter response.
SCHPRISMA-000619,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_H_SCREEN_V45_2026-09-26,"Lupinus study measures pollen and vegetative secondary chemistry and frames a defense-versus-pollinator-reward hypothesis, but does not measure herbivore or pollinator receiver responses in the focal study."
SCHPRISMA-000620,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_H_SCREEN_V45_2026-09-26,Review of pollen/anther/stamen mimicry centers pollination/deception without a focal plant antagonist/exploiter channel.
SCHPRISMA-000623,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_H_SCREEN_V45_2026-09-26,Viola pollen-limitation/cleistogamy study concerns pollination and reproductive assurance without a focal antagonist/exploiter response.
SCHPRISMA-000624,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_H_SCREEN_V45_2026-09-26,"Primary Primula farinosa experiment tests how scape length affects pollen limitation, fruit/seed predation and seed output across microhabitats; retain as a strong same-trait mutualist-antagonist fitness candidate."
SCHPRISMA-000625,EXCLUDE,TA_NOT_FLORAL_SIGNAL,SOURCE_VERIFIED_TA3_BATCH_H_SCREEN_V45_2026-09-26,Grazing/landscape study measures pollinating-insect responses to grassland context without a focal plant floral trait or plant reproductive outcome.
SCHPRISMA-000627,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_H_SCREEN_V45_2026-09-26,Primary functionally dioecious fig study jointly addresses pollination and parasitism within the fig-wasp mutualism; retain for obligate mutualism/antagonist adjudication.
SCHPRISMA-000629,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_H_SCREEN_V45_2026-09-26,"Primary Nepalese orchid study measures bee pollination, extrafloral-ant attraction, herbivore damage and fruit set/protection; retain for multi-function source adjudication."
SCHPRISMA-000630,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_H_SCREEN_V45_2026-09-26,Focused research review of moth pollination and seed predation in Silene/Caryophyllaceae; retain as relevant brood-pollination synthesis/source-chasing material.
SCHPRISMA-000631,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_H_SCREEN_V45_2026-09-26,Oenothera pollination-biology/breeding-system study lacks a focal plant antagonist/exploiter component.
SCHPRISMA-000632,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_H_SCREEN_V45_2026-09-26,Prasophyllum study characterizes pollination by multiple nectar-foraging Hymenoptera without a focal antagonist/exploiter channel.
SCHPRISMA-000633,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_H_SCREEN_V45_2026-09-26,"Primary Chelone study measures floral reward variation, pollinating mutualists, non-mutualist consumers, pollen limitation and reproductive consequences; retain for visitor-role and plant-fitness adjudication."
